Country Name,Country Code,Indicator Name,Indicator Code,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,0.276140862,1.325435758,1.188948452,2.160611468,1.273979115,-2.347527702
Cyprus,CYP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,4.141657647,1.973041917,2.801155052,4.139065387,2.286217068,2.560161323,2.30468733,2.372651837,4.669008419,0.326276652,2.430040841,3.289449396,2.3890541,-0.399357676,-1.354988854,-2.096997691
Czechia,CZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,3.775388292,4.66267557,1.90298097,0.118739206,2.760107817,1.857097891,2.533992583,2.853124372,6.358663802,1.019377353,1.472727273,1.917219136,3.287623066,1.438297872,0.34398859,0.309364548
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1.440268387,1.983857313,1.420806156,1.034222186,1.665736967,1.546911148,1.577426428,2.298344007,2.628379816,0.312739007,1.103810378,2.075172837,2.008488848,1.504723303,0.906794,0.514426137
Djibouti,DJI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,1.74665225,0.637619554,1.981967346,3.122262047,3.104966401,3.483406997,4.965976546,11.95862069,1.675495873,3.950078759,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734
Dominica,DMA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,0.856946805,1.303894035,0.17005533,1.453368004,2.394109821,1.681900799,2.202391326,3.632221293,6.359921833,0.006263571,2.999366305,1.131231365,1.356771478,-0.046411647,0.799250373,-0.843826985
Denmark,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,2.903282032,2.337870003,2.424436612,2.075078206,1.154356931,1.817814583,1.924221385,1.693265862,3.416267943,1.30470991,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154
Dominican Republic,DOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,7.724135662,8.883068488,5.223367698,27.44971274,51.46085983,4.190202605,7.572805239,6.143566552,10.6446211,1.442151318,6.329932201,5.796768092,3.694497079,4.830950967,2.998642261,0.836746347
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,0.339163189,4.225988349,1.418301923,4.268953958,3.961800303,1.382446567,2.311499185,3.678995747,4.858590628,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007
East Asia & Pacific (excluding high income),EAP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,2.158518106,4.272670245,2.34316991,3.234648173,4.534213741,4.540369196,4.63747436,4.810237043,10.33682603,3.675033055,3.611962344,5.235415915,3.225169573,2.927583516,3.370406974,1.086486299
Early-demographic dividend,EAR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,3.899529803,3.750820575,4.240266607,5.452932243,4.435261084,4.821700507,5.687137726,6.177806835,10.44698751,4.373768871,4.397413832,5.81149209,5.018272542,4.824623143,4.073929575,3.062031696
East Asia & Pacific,EAS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1.591969175,3.577554521,1.885720002,2.289156627,3.23751394,3.037023326,3.936162599,3.764002592,8.342086349,1.62173014,3.05730564,5.021460146,2.974607798,2.582687661,2.510876333,0.795279631
Europe & Central Asia (excluding high income),ECA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,15.94081244,8.354137772,5.810143657,4.950615593,6.921657874,7.87957983,7.795259728,8.591466822,12.37985319,3.436745279,6.647353355,7.858333333,3.316055667,4.597878974,3.068812104,4.027685737
Europe & Central Asia,ECS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,3.775388292,4.262872289,2.786159886,2.348641696,2.829477962,2.609323082,3.192886378,2.915982619,6.059740463,1.5360765,2.424473618,3.856112447,2.773338541,1.734039635,0.620490637,0.368046842
Ecuador,ECU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,96.09637569,37.67674545,12.48359801,7.929364875,2.743231989,2.168277012,3.298748463,2.27618478,8.40009594,5.159968292,3.554377346,4.474532658,5.10172181,2.721775777,3.589220166,3.966646233
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,2.683805353,2.269757205,2.73723855,4.507776363,11.27061933,4.869396969,7.644526445,9.318969058,18.31683168,11.76349544,11.26518827,10.06492599,7.111729433,9.469719811,10.07021547,10.37049034
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,2.853030393,2.785165427,2.465323192,2.098472191,2.225679164,2.487696652,2.666314946,2.453965281,4.07534336,0.368041998,1.525516021,3.289449396,2.485675622,1.219993423,0.24104743,0.037514381
Eritrea,ERI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,3.433515634,3.589834133,3.065656859,3.038888394,3.039248811,3.368814098,3.515575768,2.786797458,4.07534336,-0.287813084,1.799864577,3.196101888,2.446127824,1.408581092,-0.151114838,-0.50036571
Estonia,EST,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,4.018489525,5.748279817,3.571912702,1.334991165,3.048111075,4.079714232,4.437620424,6.601326031,10.36235803,-0.078408311,2.97204512,4.981901315,3.933399873,2.78056659,-0.106175147,-0.492326007
